content,keywords,title,category,w_id,a_Fname,a_Lname,a_age
hello. im so happy but... idk.,"hello,happy",happysman,short,4,ted,tedy,31
autism is a little understood brain disorder.,autism,autism,illness,2,jak,sparow,49
Emerging new technologies,"technology,innovation,future",Technological Advances,Technology,11,Sina,Karimi,42
Understanding child psychology,"psychology,child,development",Child Growth and Development,Psychology,12,Zahra,Mohammadi,37
Guide to healthy nutrition,"nutrition,health,diet",Guide to Healthy Eating,Health,5,Ahmad,Sadeghi,45
Exploring Kish Island,"travel,tourism,Iran",Experience of Traveling to Kish,Tourism,6,Narges,Hosseini,33
Effective digital marketing,"digital marketing,internet",Digital Marketing Strategies,Marketing,7,Amir,Kazemi,29
Environmental protection issues,"environment,climate change,energy",Environmental Challenges,Environment,8,Fatemeh,Nouri,31
Modern novel writing techniques,"literature,novel",Contemporary Iranian Novelists,Literature,9,Mehdi,Sharifi,39
Project management essentials,"project,business",Principles of Project Management,Business,9,Mehdi,Sharifi,39
